"NRC","Sec","Tipo","Campus","Horario","Días","Edificios","Aula","Modalidad","Cupos","Inscritos","Disponibles","Profesor(a)"
"43678","03","Teoria","Santo Domingo","13 a 16","VI","Maximo Aviles Blonda","AB-203","Presencial","60","0","60","Cristino Castillo Marte"
"43678","03","Teoria","Santo Domingo","13 a 16","SA","Maximo Aviles Blonda","AB-205","Presencial","60","0","60","Cristino Castillo Marte"
"44426","08","Teoria","Santo Domingo","19 a 22","LU","Ciencias Juridicas A","CJA-204","Presencial","60","0","60","Cristino Castillo Marte"
"44426","08","Teoria","Santo Domingo","19 a 22","MI","Facultad De Humanidades 1","FH1-211","Presencial","60","0","60","Cristino Castillo Marte"
"41799","20","Teoria","Santo Domingo","15 a 18","JUVI","Liceo Hugo Tolentino Dipp Edi3","HTD3-204","Presencial","60","0","60","Marc Kelly Jean Philippe"
"40809","02","Teoria","Santo Domingo","20 a 22","LU","Ciencias Juridicas A","CJA-306","Presencial","60","0","60","Eric Tomas Beriguete Galan"
"40809","02","Teoria","Santo Domingo","20 a 22","MA","Facultad De Humanidades 2","FH2-201","Presencial","60","0","60","Eric Tomas Beriguete Galan"
"40809","02","Teoria","Santo Domingo","20 a 22","MI","Facultad De Humanidades 2","FH2-106","Presencial","60","0","60","Eric Tomas Beriguete Galan"
"27342","ZC1","Teoria","Santo Domingo","13 a 15","LU","Ciencias Juridicas A","CJA-104","Semipresencial","60","0","60","Elpidio Antonio Perez Vargas"
